negative	class	verdict
*** HOW THE THIRTY-THREE WERE CLASSIFIED ***	METHOD	Row 247 asked for the single-spelling negatives to be "read one at a time to separate the name searches from the record-class ones, and the name searches re-run when their instrument is reachable". Every published negative was read on 22 September 2026 and put in one of five classes. NOT-A-NAME-SEARCH 9 · ALREADY-WIDE 11 · WITHDRAWN 3 · SINGLE-SPELLING-REACHABLE 3 · SINGLE-SPELLING-BLOCKED 7. *** THE ROW'S CRUDE COUNT OF EIGHTEEN WAS TOO HIGH AND THE REAL NUMBER IS TEN. *** Eighteen came from counting any negative that names one form of a family name. Ten of those are genuine one-spelling searches for a PERSON; the other eight are searches for a RECORD CLASS or for a coverage fact, where spelling cannot be the reason for the zero.
0 · Kurt's estate in the SA Government Gazette	ALREADY WIDE	Eight spellings — LUWINSKI, LUWINSKY, Luwinsk, Luwenski, Lnwinski, Luwiuski, Luwinshi, Lewinski. No widening owed. ITS ARITHMETIC WAS WRONG, THOUGH, AND IS NOW FIXED: it said eight documents and then listed six.
1 · Leonard in FamilySearch's SA collections	ALREADY WIDE	Seven spellings — WEAR, WARE, WEIR, WIER, WEARE, WEARNE, WEARS — across all 32 South African collections.
2 · No post-1970 SA marriage register on FamilySearch	NOT A NAME SEARCH	A coverage count of collection 2821281 by year. No name was searched, so no spelling could have changed it.
3 · Leonard did not die in England or Wales 1970-1985	SINGLE SPELLING — RE-RUN 22 SEPT, AND IT HOLDS	Was: FreeBMD, surname WEAR exact, no forename, 241 entries. NOW WIDENED WITH THE INSTRUMENT'S OWN PHONETIC FLAG. Soundex WEAR, deaths, Mar 1970 to Dec 1985 returns 6,664 — TWENTY-SEVEN TIMES the exact-spelling pool, and the original never saw any of it. Adding the forename Leonard brings it to about forty entries spread across WEIR, WARE, WARR, WRAY, WHEAR, WYER, WERE, WROE, WERRY, WHURR, WIER and WERRA, of which EXACTLY ONE is a true WEAR: Leonard Rigby Wear, born 10 October 1897, died Claro, Jun 1970. LEONARD AUBREY ROBERT WEAR WAS BORN AT HITCHIN IN THE FIRST QUARTER OF 1917 AND NOT ONE OF THE FORTY WAS BORN IN 1917. FreeBMD prints the date of birth against every post-1969 death, which is what makes that decisive rather than suggestive. THE NEGATIVE SURVIVES A TWENTY-SEVEN-FOLD WIDENING.
4 · The British consular registers cannot hold Leonard's death	NOT A NAME SEARCH	A structural argument from the series' published coverage and the gov.uk exclusion list. No name, no spelling.
5 · Leonard has no deceased estate in South Africa	SINGLE SPELLING — BLOCKED	NAAIRS, surname WEAR alone, 1970-1976. NAAIRS has stopped answering (row 178), so this cannot be re-run today. MARKED PROVISIONAL.
6 · Leonard in no Johannesburg cemetery register	SINGLE SPELLING — BLOCKED	FamilySearch collection 4453927, surname WEAR alone, 517 hits read. Needs a sign-in. MARKED PROVISIONAL.
7 · Leonard not in the 1973 probate calendar	SINGLE SPELLING — RE-RUN 22 SEPT, AND ITS INSTRUMENT IS WEAKER THAN THE CLAIM	WITHDRAWN 22 SEPTEMBER — IT TESTED NOTHING, AND THE FIRST RE-RUN GOT THAT WRONG TOO. The service answers in two halves. DIGITAL SEARCH RESULTS holds only grants issued from 1996 and says so, so a 1973 query returns 0 before anything is searched; that is the zero the negative was built on. IMAGE SEARCH RESULTS returns "41 document pages" — AND THAT NUMBER IS A CONSTANT. Wear 1973: 41. Smith 1973: 41. Luwinski 1973: 41. Zqxvwyrk 1973, pure nonsense: 41. Wear 1979: 41. With the forename Leonard: 41. With the keyword AUBREY, the filter the original negative used: 41. The image half runs no search; it is a browse handle onto calendar page images and the viewer opens at BAINBRIDGE with only Zoom and Next Page. *** AND THE FIRST WRITE-UP OF THIS RE-RUN, EARLIER THE SAME EVENING, SAID THE OPPOSITE — that a Zqxvwyrk control returned 0 and 0 and therefore the forty-one were real. That control had been run down a path on which the year never reached the form, and it was published without being repeated. A CONTROL YOU CANNOT REPRODUCE IS NOT A CONTROL, and one that agrees with you is the one to run twice.
8 · Ivone never naturalised	ALREADY WIDE	Forename IVONE across 1946-1980 plus five exact name forms including two married surnames.
9 · Kurt never naturalised	ALREADY WIDE BY CROSS-REFERENCE — CHECKED 22 SEPT	Its own text says only "surname LUWINSKI". But negative 0 sweeps the SAME CORPUS with no year limit under eight spellings and finds the whole Luwinski holding to be eight documents. Re-counted live on 22 September: still exactly eight, and not one is a naturalisation notice. A NEGATIVE CAN BE WIDENED BY ANOTHER NEGATIVE WHEN BOTH READ THE SAME CORPUS, and this one is, so no new search was needed.
10 · No immigration file for Kurt	SINGLE SPELLING — BLOCKED	NAAIRS, IMMIGRATION+LUWINSKI and PIO+LUWINSKI. NAAIRS down. MARKED PROVISIONAL.
11 · NAAIRS cannot answer who naturalised	NOT A NAME SEARCH	A keyword search on NATURALIZATION returning 342 policy files and bills. It is a statement about what the index describes, not about a person.
12 · The 1986 reopening of grave 56045 was not recorded	NOT A NAME SEARCH	Two named register folios read at the image. The question is whether an EVENT was entered, not whether a name was found.
13 · The SA civil marriage register never asked for parents	NOT A NAME SEARCH	Six registers read at full resolution. A question about a FORM, not a person.
14 · Krmpote has no birth register before 1879	NOT A NAME SEARCH	A holdings question put to the FamilySearch catalogue and the Croatian State Archives.
15 · Leonard never appears in the Government Gazette	ALREADY WIDE — AND ALREADY MARKED WEAK	Every exact form of the name plus loose sweeps on Wear with engineer, Fairlands and Johannesburg. The page already calls it a weak null.
16 · None of Leonard's three dead sisters has a gazetted estate	ALREADY WIDE	Three full forename strings searched against FOOT across 2009-2014, not one surname.
17 · No Maud Mabel Castle	SINGLE SPELLING — BLOCKED, AND ALREADY MARKED WEAK	FamilySearch on the forename pair with surname CASTLE. Needs a sign-in. MARKED PROVISIONAL.
18 · No Leibholz anywhere in the South African archives	SINGLE SPELLING — BLOCKED, AND THE MOST EXPOSED OF THE TEN	NAAIRS, surname LEIBHOLZ alone. THIS IS THE ONE THE EIGHTH SPELLING MOST OBVIOUSLY THREATENS: three institutions write the same murdered person both LEIBHOLZ and LEIPHOLZ, and the Schöneberg 1975 volume proved it on a document. NAAIRS is down, so it cannot be re-run. MARKED PROVISIONAL AND FLAGGED AS THE FIRST TO RE-RUN THE DAY NAAIRS ANSWERS.
19 · No Johannesburg street directory reachable without a reading room	NOT A NAME SEARCH	A question about what is online.
20 · No spelling of Ivone's maiden name in an SA naturalisation notice	ALREADY WIDE	Three spellings on the first pass and more on the second, run the same day at David's prompting.
21 · WITHDRAWN — "NAAIRS is down" was wrong	WITHDRAWN	A stale URL, not a dead service. Not a live negative.
22 · The variant spellings each return one NAAIRS record	ALREADY WIDE	Four spellings run as separate queries with the full record fetched for each.
23 · WITHDRAWN — the index does not list naturalisation files at all	WITHDRAWN	Killed by its own control within the hour. Not a live negative.
24 · The two Giddins DNA matches do not connect through Hertfordshire	NOT A NAME SEARCH	A genealogical argument against census and match data, not a search of an index.
25 · No Luwinski on any SA page FamilySearch has read	ALREADY WIDE	Three spellings plus the phrase "Piccadilly Hat", and the negative already states its own hard limit: the pages read stop in 1931.
26 · No estate notice for Leonard or Phyllis Agnes Norquoy	ALREADY WIDE	WEAR AND AUBREY at 38 documents and NORQUOY at 41, all seventy-nine read, plus four further combinations.
27 · WITHDRAWN — the electoral registers cannot be searched by person	WITHDRAWN	Withdrawn on its own controls, including a rare-surname and a null control. Not a live negative.
28 · Hammerstein's registers and synagogue books are both gone	NOT A NAME SEARCH	An archive's signed answer about whether two SERIES survive. No spelling could change it.
29 · No First World War service file for Frederick James Castle	SINGLE SPELLING — BLOCKED	Findmypast, surname CASTLE with forename FRED*. The forename is already wildcarded; the SURNAME is not. Findmypast needs a subscription. MARKED PROVISIONAL.
30 · Frederick James Castle did not die or marry abroad on service	SINGLE SPELLING — BLOCKED	Same instrument, same surname, same subscription wall. MARKED PROVISIONAL.
31 · LUWINSKI in no record in TNA Discovery	ALREADY WIDE	Re-run across fourteen spellings on 21 September. The negative holds and is wider than it was.
32 · The Gedenkbuch under other misspellings	ALREADY WIDE — AND IT FAILED	Ten spellings on 22 September. LAIBHOLZ returned two murdered people the archive had never seen. The only one of the thirty-three that a widening has actually overturned.
*** WHAT THE EXERCISE COST AND WHAT IT BOUGHT ***	SUMMARY	THREE WERE RE-RUN AND THE SCORE IS ONE HELD, ONE DOWNGRADED, ONE CLOSED BY CROSS-REFERENCE. No. 3 survived a twenty-seven-fold widening and is now much stronger than it was. No. 7 was WITHDRAWN, because its instrument turns out to run no search at all for a pre-1996 year — and the first attempt to say so was itself wrong, on a control that had not been repeated. No. 9 needed no search at all, only the discipline of reading the negative next to it. SEVEN REMAIN BLOCKED BEHIND NAAIRS, FAMILYSEARCH AND FINDMYPAST, and they are marked provisional rather than quietly left to look settled. THE ONE TO RE-RUN FIRST IS NO. 18, the NAAIRS Leibholz search, because the eighth spelling is exactly the failure that negative is exposed to.
