# EVERY ATLAS PIN CHECKED AGAINST A GAZETTEER, 21 September 2026.
# Sixteen pins, fifteen of which had never been checked since the Sauerbaum pin was found fifty
# kilometres out by accident. Method: OpenStreetMap Nominatim, one request a second with a named
# User-Agent, great-circle distance from the published pin, anything over three kilometres read
# by hand rather than trusted.
field	value
*** THE RESULT: TWO PINS OF SIXTEEN WERE WRONG, AND BOTH ARE NOW FIXED ***	PORTO was published at 41.35 N and Porto is at 41.15 N — ONE DIGIT, TWENTY-TWO KILOMETRES, and it is the place where Derrick's mother is buried. SOMMERFELD was published at 52.95, 12.98 and belongs at 52.80, 13.03 — SEVENTEEN KILOMETRES. The move "Johannesburg to Porto" carried the same wrong coordinate and was corrected with it.
how Sommerfeld was settled, since there are many	the archive's own tree gives the place as "Sommerfeld/Osthavelland", postcode 16766, Hohenbrucher Chaussee. That is Sommerfeld in KREMMEN, Oberhavel — 52.8026, 13.0344. It is where Siegfried was hidden from January 1943 to April 1945, so the pin matters.
the other fourteen, confirmed	Hammerstein (Czarne) 0.4 km · Szubin 1.3 · Allenstein 0.4 · Sauerbaum (Zerbuń) 0.1 · Berlin 0.4 · Łódź 1.0 · Chełmno (Kulmhof) 0.4 · Theresienstadt 0.1 · Auschwitz 0.4 · Kraichtal 1.6 · Eixo 2.0 · Amadora 0.6 · Lourenço Marques 1.3 · Johannesburg 0.6.
# ---------------- AND THE TRAP IN THE METHOD, WHICH ALMOST BROKE TWO GOOD PINS ----------------
*** A GAZETTEER LOOKUP OF THE MODERN TOWN IS NOT A CHECK ON A HISTORICAL SITE ***	the first pass flagged CHEŁMNO at 4.7 km and AUSCHWITZ at 4.3 km and BOTH PINS ARE CORRECT. Searching "Chełmno nad Nerem" returns a different Chełmno in gmina Dąbie; searching the extermination camp itself — "Kulmhof am Ner" — lands 0.4 km from the pin. Searching "Oświęcim" returns the town centre four kilometres east of the camp; searching the Auschwitz-Birkenau State Museum lands 0.4 km from the pin. THE PINS MEAN THE CAMPS, NOT THE TOWNS THAT NOW CARRY THE NAMES.
so the rule for anyone repeating this	AN AUTOMATED PASS RUN WITHOUT THAT CORRECTION WOULD HAVE "FIXED" TWO RIGHT PINS INTO WRONG ONES, and it would have moved Jacob, Samuel and Oskar's place of death four kilometres and Georg and Lydia's five. A flagged distance is a question, not a finding.
# ---------------- THE STATED DISTANCES ----------------
"some 45 km apart along the Dão" — CORRECTED	the DNA page named three Viseu-district places and called them 45 km apart. Measured: Treixedo to Tondela 9.4 km, Tondela to Castro Daire 44.6 km, TREIXEDO TO CASTRO DAIRE 54.0 km. The figure was right for one pair and understated the spread of the three by nine kilometres. The river was wrong too — Castro Daire is not on the Dão — so the sentence now gives the three measured distances and names no river.
"Ivone — 400 miles of railway" — NOT VERIFIED, AND LEFT ALONE	Lourenço Marques to Johannesburg is 453 km, 282 miles, in a straight line, and the claim is about RAIL, which ran north via Ressano Garcia, Komatipoort, Nelspruit and Waterval Boven. A rail figure near 400 miles is plausible for that route and this archive has not found a source for it. IT IS MARKED UNVERIFIED RATHER THAN CHANGED, because changing a number to a different unsourced number is not an improvement.
# ---------------- WHAT THIS PASS DID NOT DO ----------------
the dates are not audited	work-list row 248 asked for three things: the pins, the stated distances, and every date converted between a register and a narrative. THE FIRST TWO ARE DONE AND THE THIRD IS NOT, and it is carved off rather than left hiding inside a closed row.
source	OpenStreetMap Nominatim, queried 21 September 2026 at one request a second with an identifying User-Agent; distances by haversine on the WGS84 mean radius. Pin coordinates from site/public/atlas-data.json before and after correction.
